req_id,llama_20251110T073554_10_argmax,deepseek_20251112T144147_10_argmax,match
226,0,4,0
657,1,3,0
824,3,0,0
988,1,1,1
1005,3,4,0
1011,0,0,1
1140,1,2,0
1326,3,2,0
1555,1,0,0
1575,0,2,0
1723,2,1,0
1963,0,1,0
2288,1,0,0
2550,1,3,0
2555,3,0,0
2631,1,2,0
2795,0,2,0
2962,4,4,1
3120,0,0,1
3365,4,3,0
3401,0,0,1
3411,2,3,0
3573,1,3,0
3745,2,2,1
4087,0,1,0
4229,4,0,0
4280,3,3,1
4321,3,0,0
4653,1,2,0
4737,1,2,0
4917,1,3,0
4922,4,2,0
5373,2,3,0
5403,4,1,0
5407,0,0,1
5413,4,3,0
5725,3,2,0
5918,2,0,0
6125,0,0,1
6345,4,0,0
6411,0,2,0
6447,4,4,1
6498,4,0,0
6531,4,3,0
6778,2,4,0
6836,0,4,0
7022,3,4,0
7143,4,1,0
7331,3,3,1
7947,3,2,0
7965,4,2,0
8779,0,4,0
9226,0,4,0
9310,0,1,0
9437,3,4,0
9471,3,4,0
9675,4,0,0
9696,4,2,0
10905,2,3,0
11028,0,2,0
11061,3,0,0
11211,2,3,0
11217,4,1,0
11616,3,1,0
11704,3,1,0
11765,0,1,0
12085,1,0,0
12093,3,2,0
12618,3,0,0
12743,3,4,0
13333,2,3,0
13713,1,1,1
13823,4,0,0
13886,2,3,0
13989,1,1,1
14390,0,3,0
15272,4,1,0
15363,0,0,1
15379,1,2,0
15382,2,1,0
15638,0,3,0
15645,0,4,0
15780,4,2,0
15903,4,0,0
16153,0,0,1
16251,2,4,0
16704,4,3,0
16909,4,0,0
17033,4,3,0
17114,1,1,1
17579,0,0,1
17832,2,3,0
18102,0,4,0
18110,1,0,0
18383,3,1,0
18442,0,2,0
18533,2,1,0
18665,0,1,0
19298,1,3,0
19448,4,4,1
19482,0,2,0
19554,1,2,0
19610,2,4,0
19672,2,4,0
20094,0,3,0
20218,2,3,0
20220,0,0,1
20241,2,4,0
20483,3,2,0
20657,3,1,0
20768,2,3,0
21286,3,4,0
21379,4,2,0
21638,2,1,0
22500,1,0,0
22558,2,3,0
22597,1,3,0
22798,0,4,0
24471,4,4,1
24657,3,4,0
24740,0,0,1
25109,4,2,0
25247,1,1,1
25454,4,0,0
25898,1,0,0
25997,0,0,1
26517,1,4,0
26788,0,1,0
26898,2,2,1
26942,0,4,0
27510,4,3,0
28078,1,1,1
28158,0,4,0
28490,2,1,0
29169,1,1,1
29666,4,0,0
30056,2,2,1
30193,4,0,0
30228,3,3,1
30229,1,4,0
30252,0,4,0
30761,2,2,1
30956,2,3,0
31236,4,0,0
31299,3,4,0
32081,2,4,0
32166,2,3,0
32190,0,4,0
32570,3,4,0
32707,1,2,0
32829,1,3,0
33164,0,4,0
33198,2,3,0
33844,1,2,0
33984,4,0,0
34000,2,4,0
34356,2,3,0
34444,2,3,0
34717,0,3,0
35053,0,2,0
35236,3,4,0
35452,3,3,1
35519,2,4,0
35520,1,2,0
35549,3,0,0
35609,4,2,0
35739,4,0,0
35870,0,0,1
36089,2,2,1
36537,0,4,0
36543,2,2,1
36555,3,3,1
36597,2,3,0
36701,2,3,0
36748,3,4,0
36770,4,4,1
37153,1,3,0
37600,0,4,0
37773,3,3,1
37919,3,4,0
38088,0,1,0
38127,0,0,1
38187,4,0,0
38231,4,3,0
38453,2,4,0
38521,1,3,0
38987,3,3,1
39112,1,3,0
39382,4,1,0
39552,4,1,0
39696,0,0,1
39874,1,0,0
40272,4,2,0
40543,0,1,0
40935,4,2,0
41271,4,2,0
41530,0,3,0
41677,3,4,0
41680,3,1,0
41727,1,0,0
41761,1,3,0
41809,3,4,0
41813,1,1,1
41868,1,2,0
41900,0,3,0
42454,0,1,0
42581,2,3,0
42608,4,1,0
42660,1,2,0
42713,4,3,0
43073,1,4,0
43176,4,0,0
43211,2,3,0
43333,2,4,0
43430,0,0,1
43475,3,3,1
44002,2,3,0
44027,2,1,0
44260,3,4,0
44279,0,0,1
44348,0,1,0
44402,4,2,0
44820,4,1,0
44846,3,3,1
45594,0,4,0
46217,3,4,0
46236,3,4,0
46975,1,3,0
47144,4,2,0
47484,1,3,0
47561,1,0,0
47631,0,4,0
48104,2,3,0
48165,3,3,1
48397,2,3,0
48409,3,1,0
48451,0,0,1
48667,4,0,0
49519,3,0,0
49766,2,3,0
49778,1,2,0
49845,0,2,0
50056,1,2,0
50256,1,1,1
50295,1,3,0
50598,2,0,0
50635,2,2,1
50720,2,3,0
50763,4,0,0
50815,0,0,1
50870,4,0,0
50884,0,2,0
50966,3,4,0
51647,3,0,0
51672,2,2,1
52060,1,2,0
52279,0,3,0
52526,4,0,0
52527,0,2,0
52645,3,4,0
52717,0,3,0
52835,2,4,0
