req_id,llama_20251110T073554_10_argmax,qwen_20251111T025525_10_argmax,match
226,0,2,0
657,1,4,0
824,3,0,0
988,1,1,1
1005,3,3,1
1011,0,0,1
1140,1,4,0
1326,3,2,0
1555,1,1,1
1575,0,1,0
1723,2,2,1
1963,0,0,1
2288,1,2,0
2550,1,2,0
2555,3,2,0
2631,1,3,0
2795,0,1,0
2962,4,2,0
3120,0,1,0
3365,4,1,0
3401,0,0,1
3411,2,0,0
3573,1,4,0
3745,2,4,0
4087,0,0,1
4229,4,1,0
4280,3,2,0
4321,3,2,0
4653,1,2,0
4737,1,2,0
4917,1,2,0
4922,4,3,0
5373,2,3,0
5403,4,1,0
5407,0,0,1
5413,4,0,0
5725,3,2,0
5918,2,2,1
6125,0,0,1
6345,4,2,0
6411,0,1,0
6447,4,4,1
6498,4,0,0
6531,4,2,0
6778,2,0,0
6836,0,3,0
7022,3,3,1
7143,4,1,0
7331,3,3,1
7947,3,0,0
7965,4,2,0
8779,0,0,1
9226,0,0,1
9310,0,1,0
9437,3,3,1
9471,3,3,1
9675,4,4,1
9696,4,1,0
10905,2,2,1
11028,0,1,0
11061,3,0,0
11211,2,3,0
11217,4,2,0
11616,3,0,0
11704,3,3,1
11765,0,0,1
12085,1,4,0
12093,3,0,0
12618,3,0,0
12743,3,3,1
13333,2,3,0
13713,1,1,1
13823,4,2,0
13886,2,3,0
13989,1,1,1
14390,0,3,0
15272,4,1,0
15363,0,0,1
15379,1,2,0
15382,2,0,0
15638,0,0,1
15645,0,4,0
15780,4,0,0
15903,4,4,1
16153,0,3,0
16251,2,1,0
16704,4,0,0
16909,4,4,1
17033,4,3,0
17114,1,2,0
17579,0,0,1
17832,2,3,0
18102,0,3,0
18110,1,0,0
18383,3,0,0
18442,0,2,0
18533,2,3,0
18665,0,0,1
19298,1,1,1
19448,4,2,0
19482,0,2,0
19554,1,1,1
19610,2,2,1
19672,2,3,0
20094,0,2,0
20218,2,2,1
20220,0,0,1
20241,2,3,0
20483,3,3,1
20657,3,2,0
20768,2,3,0
21286,3,0,0
21379,4,2,0
21638,2,2,1
22500,1,4,0
22558,2,2,1
22597,1,1,1
22798,0,3,0
24471,4,1,0
24657,3,2,0
24740,0,3,0
25109,4,4,1
25247,1,2,0
25454,4,4,1
25898,1,1,1
25997,0,0,1
26517,1,4,0
26788,0,0,1
26898,2,3,0
26942,0,2,0
27510,4,4,1
28078,1,4,0
28158,0,2,0
28490,2,4,0
29169,1,2,0
29666,4,0,0
30056,2,2,1
30193,4,0,0
30228,3,2,0
30229,1,0,0
30252,0,1,0
30761,2,2,1
30956,2,4,0
31236,4,0,0
31299,3,1,0
32081,2,3,0
32166,2,3,0
32190,0,2,0
32570,3,4,0
32707,1,2,0
32829,1,1,1
33164,0,3,0
33198,2,3,0
33844,1,3,0
33984,4,1,0
34000,2,3,0
34356,2,1,0
34444,2,2,1
34717,0,0,1
35053,0,1,0
35236,3,3,1
35452,3,4,0
35519,2,3,0
35520,1,4,0
35549,3,3,1
35609,4,1,0
35739,4,0,0
35870,0,1,0
36089,2,3,0
36537,0,2,0
36543,2,3,0
36555,3,3,1
36597,2,3,0
36701,2,2,1
36748,3,3,1
36770,4,2,0
37153,1,2,0
37600,0,2,0
37773,3,2,0
37919,3,3,1
38088,0,3,0
38127,0,1,0
38187,4,2,0
38231,4,4,1
38453,2,2,1
38521,1,2,0
38987,3,2,0
39112,1,3,0
39382,4,1,0
39552,4,0,0
39696,0,0,1
39874,1,1,1
40272,4,1,0
40543,0,0,1
40935,4,1,0
41271,4,4,1
41530,0,3,0
41677,3,3,1
41680,3,1,0
41727,1,1,1
41761,1,4,0
41809,3,3,1
41813,1,4,0
41868,1,0,0
41900,0,0,1
42454,0,1,0
42581,2,2,1
42608,4,1,0
42660,1,4,0
42713,4,1,0
43073,1,3,0
43176,4,0,0
43211,2,3,0
43333,2,2,1
43430,0,0,1
43475,3,3,1
44002,2,3,0
44027,2,2,1
44260,3,3,1
44279,0,3,0
44348,0,3,0
44402,4,3,0
44820,4,1,0
44846,3,3,1
45594,0,4,0
46217,3,2,0
46236,3,3,1
46975,1,2,0
47144,4,4,1
47484,1,2,0
47561,1,1,1
47631,0,3,0
48104,2,1,0
48165,3,2,0
48397,2,3,0
48409,3,4,0
48451,0,0,1
48667,4,0,0
49519,3,1,0
49766,2,4,0
49778,1,2,0
49845,0,3,0
50056,1,4,0
50256,1,1,1
50295,1,1,1
50598,2,1,0
50635,2,3,0
50720,2,4,0
50763,4,1,0
50815,0,2,0
50870,4,0,0
50884,0,2,0
50966,3,2,0
51647,3,2,0
51672,2,2,1
52060,1,2,0
52279,0,0,1
52526,4,2,0
52527,0,0,1
52645,3,2,0
52717,0,1,0
52835,2,3,0
52854,4,4,1
52910,4,2,0
52936,4,4,1
52968,3,1,0
53140,3,3,1
53147,4,1,0
53210,0,4,0
53632,4,4,1
53797,3,3,1
53828,4,2,0
54230,0,0,1
54311,1,1,1
54674,1,1,1
54948,2,3,0
54959,3,2,0
55298,2,3,0
55350,4,0,0
55571,1,2,0
55591,1,0,0
55644,2,2,1
55839,2,3,0
56274,4,2,0
56334,2,4,0
56468,4,2,0
56511,3,0,0
56768,1,2,0
56965,4,4,1
57138,0,0,1
57147,4,0,0
57204,1,0,0
57465,3,3,1
57507,3,2,0
57528,0,1,0
57575,0,3,0
57655,4,0,0
57968,0,1,0
58096,4,2,0
58259,4,3,0
58394,1,1,1
58682,2,4,0
59041,2,2,1
59931,0,3,0
59965,1,0,0
60018,2,3,0
60204,2,3,0
60279,1,4,0
60314,4,1,0
60383,0,0,1
60391,1,3,0
60605,0,3,0
60722,3,3,1
60971,4,3,0
61292,2,4,0
61315,2,3,0
61514,0,1,0
62440,4,1,0
62908,3,0,0
63085,2,3,0
63335,1,2,0
63377,4,0,0
63459,2,3,0
63598,4,2,0
64033,3,3,1
64404,1,2,0
64529,1,0,0
64597,3,3,1
64643,1,0,0
64877,2,3,0
65115,1,4,0
65140,3,4,0
65597,3,0,0
66130,0,1,0
66157,1,1,1
66333,2,3,0
66362,4,2,0
66393,3,0,0
66415,0,1,0
67699,3,3,1
67843,4,1,0
68473,1,4,0
68584,1,2,0
68608,4,4,1
68612,1,1,1
68620,0,0,1
68957,0,4,0
69007,4,4,1
69357,1,0,0
69702,2,0,0
69769,4,2,0
69793,3,1,0
70043,2,1,0
71280,4,0,0
71416,3,1,0
71673,3,3,1
